Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,R-Value,HVAC Age,SEER,Occupancy context,Alternative 1,Alternative 2,Alternative 3
The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,11,18,12,unoccupied_8hr,78,80,83
The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,11,18,12,unoccupied_8hr,65,68,71
"With 4 people home on a hot day, what's the best AC setting?","Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,19,20,13,standard,72,76,80
Cold day today with 4 people home. What's a good heating temperature?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,19,20,13,standard,68,71,74
The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,13,25,12,unoccupied_4hr,75,78,81
The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,13,25,12,unoccupied_4hr,66,69,72
Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,13,30,11,occupied_all_day,77,80,83
Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,13,30,11,occupied_all_day,65,68,71
The house is unoccupied for 8 hours today. What's the best AC temperature?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,19,35,10,unoccupied_8hr,74,77,80
The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,19,35,10,unoccupied_8hr,66,69,72
"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,11,40,9,standard,78,81,84
Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,11,40,9,standard,64,67,70
The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,13,22,13,unoccupied_4hr,74,77,80
The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,13,22,13,unoccupied_4hr,66,69,72
"With 2 people home on a hot day, what's the best AC setting?","Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,19,23,13,standard,76,79,82
Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,26,23,19,23,13,standard,67,70,73
It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,17,19,12,16,standard,72,75,79
It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,17,19,12,16,standard,68,71,74
Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,87,12,13,8,15,occupied_all_day,75,78,81
Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",1700,Medium,3,$240 ,Rowhouse,23,12,13,8,15,occupied_all_day,67,70,73
We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5,13,5,16,unoccupied_8hr,76,79,82
We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5,13,5,16,unoccupied_8hr,66,69,72
The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,1,11,1,18,unoccupied_12hr,76,79,82
The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,1,11,1,18,unoccupied_12hr,66,69,72
I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,1,19,2,18,occupied_all_day,73,76,79
I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,1,19,2,18,occupied_all_day,68,71,74
The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",1500,Poor,2,$180 ,Single-family,92,4,11,4,17,unoccupied_4hr,78,81,84
The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",1500,Poor,2,$180 ,Single-family,20,4,11,4,17,unoccupied_4hr,65,68,71
I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,5,13,5,16,occupied_all_day,76,79,82
I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,5,13,5,16,occupied_all_day,66,69,72
No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,7,13,7,16,unoccupied_8hr,75,78,81
No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,7,13,7,16,unoccupied_8hr,66,69,72
We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,9,11,9,15,unoccupied_8hr,78,81,84
We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,9,11,9,15,unoccupied_8hr,65,68,71
It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,10,19,11,16,standard,71,75,79
It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,10,19,11,16,standard,68,71,74
The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,12,13,12,15,unoccupied_4hr,75,78,81
The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,12,13,12,15,unoccupied_4hr,66,69,72
It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,13,13,14,15,standard,76,79,82
It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,13,13,14,15,standard,66,69,72
It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,14,19,14,16,standard,73,76,79
It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,14,19,14,16,standard,67,70,73
"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,15,11,16,14,standard,78,81,84
Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,15,11,16,14,standard,65,68,71
It's a hot day. What should I set my air conditioning to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,17,19,17,15,standard,74,77,80
It's a cold day. What should I set the thermostat to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,17,19,17,15,standard,67,70,73
It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,19,13,19,14,standard,75,78,81
It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,19,13,19,14,standard,66,69,72
"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,21,11,25,12,standard,78,81,84
Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,21,11,25,12,standard,65,68,71
It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,25,13,26,12,standard,76,79,82
It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,21,25,13,26,12,standard,66,69,72
It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,88,26,19,28,11,standard,74,77,80
It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,20,26,19,28,11,standard,67,70,73
What temperature should I set the AC to overnight?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,92,28,13,29,11,overnight_sleep,75,78,81
What temperature should I set the heat to overnight?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,18,28,13,29,11,overnight_sleep,67,70,73
It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,85,29,11,30,11,standard,76,79,82
It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,17,29,11,30,11,standard,66,69,72
I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,89,102,13,95,8,overnight_sleep,76,79,82
I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,21,102,13,95,8,overnight_sleep,66,69,72
"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",2200,Poor,4,$180 ,Single-family,98,40,11,35,9,occupied_all_day,78,80,82
It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",2000,Medium,3,$250 ,Condo,92,25,13,20,12,standard,76,78,80
I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",2400,Poor,5,$150 ,Single-family,97,35,11,30,10,occupied_all_day,79,81,83
It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",2500,Good,4,$600 ,Single-family,88,3,19,2,18,standard,72,75,78
The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",1850,Medium,3,$200 ,Townhouse,91,20,13,18,13,unoccupied_4hr,77,79,81
It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",2100,Poor,4,$280 ,Single-family,95,55,11,42,8,standard,78,80,82
Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",1900,Medium,3,$250 ,Apartment,18,60,13,38,9,standard,65,68,71
It's a hot day. What should I set my air conditioning to?,"Meadville, PA",2200,Good,4,$400 ,Single-family,90,2,19,1,18,standard,73,76,79
I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",1800,Poor,2,$170 ,Single-family,93,45,11,40,8,occupied_all_day,79,81,83
It's a hot day. What should I set my air conditioning to?,"DuBois, PA",1950,Medium,3,$260 ,Single-family,89,18,13,15,14,standard,76,77,78
The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",2100,Good,4,$320 ,Townhouse,91,10,19,8,16,unoccupied_4hr,82,76,70
Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",2000,Medium,3,$290 ,Single-family,20,18,13,16,13,standard,65,72,79
Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",2000,Poor,3,$300 ,Single-family,102,28,11,25,11,occupied_all_day,78,80,82
Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",2200,Poor,4,$280 ,Single-family,5,38,11,35,9,standard,66,69,72
It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",1800,Medium,2,$220 ,Condo,60,12,13,10,14,standard,68,70,72
We're all out for 8 hours in the heat. What AC setting makes sense?,"Pottstown, PA",2100,Medium,3,$270 ,Single-family,98,22,13,20,13,unoccupied_8hr,77,80,83
I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Quakertown, PA",1900,Good,3,$240 ,Single-family,22,11,19,9,15,overnight_sleep,70,65,60
I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Phoenixville, PA",1750,Medium,2,$250 ,Townhouse,92,14,13,12,14,overnight_sleep,78,81,84
We're all out for 12 hours in the heat. What AC setting makes sense?,"West Mifflin, PA",2300,Poor,4,$165 ,Single-family,94,30,11,28,11,unoccupied_12hr,79,81,83
I'm working from home today and it's hot. What AC temperature should I use?,"Cheltenham, PA",2000,Good,3,$450 ,Single-family,88,4,19,3,18,occupied_all_day,73,75,77
It's a mild spring day but the house feels chilly. What should I set the heat to?,"Norristown, PA",1600,Medium,3,$260 ,Single-family,60,14,13,12,14,standard,68,71,74
I'm setting the thermostat for bedtime on a cold night. What heating temperature is best?,"Wilkes-Barre, PA",1900,Good,2,$230 ,Single-family,17,9,19,7,16,overnight_sleep,65,68,70
We're leaving the house for a few hours on a hot day. What should I set the AC to?,"Levittown, PA",1700,Medium,3,$300 ,Single-family,89,32,13,28,10,unoccupied_4hr,78,80,82
It's a scorching day and we're all home. What AC setting balances comfort and cost with our older system?,"Easton, PA",2200,Poor,4,$165 ,Townhouse,97,35,11,30,9,occupied_all_day,76,78,80
We're leaving for 12 hours on a very cold day. How far should I set back the heat?,"Stroudsburg, PA",3000,Poor,5,$350 ,Single-family,15,28,11,25,11,unoccupied_12hr,60,63,67
